date,local_name,name,country_code,fixed,global,types,year,month
2023-01-02,New Year's Day,New Year's Day,US,False,True,Public,2023,01
2023-01-16,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,False,True,Public,2023,01
2023-02-12,Lincoln's Birthday,Lincoln's Birthday,US,False,False,Observance,2023,02
2023-02-20,Washington's Birthday,Presidents Day,US,False,True,Public,2023,02
2023-04-07,Good Friday,Good Friday,US,False,False,Public,2023,04
2023-04-07,Good Friday,Good Friday,US,False,False,Optional,2023,04
2023-05-08,Truman Day,Truman Day,US,False,False,"School, Authorities",2023,05
2023-05-29,Memorial Day,Memorial Day,US,False,True,Public,2023,05
2023-06-19,Juneteenth National Independence Day,Juneteenth National Independence Day,US,False,True,Public,2023,06
2023-07-04,Independence Day,Independence Day,US,False,True,Public,2023,07
2023-09-04,Labor Day,Labour Day,US,False,True,Public,2023,09
2023-10-09,Columbus Day,Columbus Day,US,False,False,Public,2023,10
2023-10-09,Indigenous Peoples' Day,Indigenous Peoples' Day,US,False,False,Public,2023,10
2023-11-10,Veterans Day,Veterans Day,US,False,True,Public,2023,11
2023-11-23,Thanksgiving Day,Thanksgiving Day,US,False,True,Public,2023,11
2023-12-25,Christmas Day,Christmas Day,US,False,True,Public,2023,12
2023-01-02,New Year's Day,New Year's Day,GB,False,False,Public,2023,01
2023-01-03,2 January,2 January,GB,False,False,Public,2023,01
2023-03-17,Saint Patrick's Day,Saint Patrick's Day,GB,False,False,Public,2023,03
2023-04-07,Good Friday,Good Friday,GB,False,True,Public,2023,04
2023-04-10,Easter Monday,Easter Monday,GB,False,False,Public,2023,04
2023-05-01,Early May Bank Holiday,Early May Bank Holiday,GB,False,True,Public,2023,05
2023-05-08,Coronation Bank Holiday,Coronation Bank Holiday,GB,False,True,Public,2023,05
2023-05-29,Spring Bank Holiday,Spring Bank Holiday,GB,False,True,Public,2023,05
2023-07-12,Battle of the Boyne,Battle of the Boyne,GB,False,False,Public,2023,07
2023-08-07,Summer Bank Holiday,Summer Bank Holiday,GB,False,False,Public,2023,08
2023-08-28,Summer Bank Holiday,Summer Bank Holiday,GB,False,False,Public,2023,08
2023-11-30,Saint Andrew's Day,Saint Andrew's Day,GB,False,False,Public,2023,11
2023-12-25,Christmas Day,Christmas Day,GB,False,True,Public,2023,12
2023-12-26,Boxing Day,St. Stephen's Day,GB,False,True,Public,2023,12
2023-01-01,Neujahr,New Year's Day,DE,False,True,Public,2023,01
2023-01-06,Heilige Drei Könige,Epiphany,DE,False,False,Public,2023,01
2023-03-08,Internationaler Frauentag,International Women's Day,DE,False,False,Public,2023,03
2023-04-07,Karfreitag,Good Friday,DE,False,True,Public,2023,04
2023-04-09,Ostersonntag,Easter Sunday,DE,False,False,Public,2023,04
2023-04-10,Ostermontag,Easter Monday,DE,False,True,Public,2023,04
2023-05-01,Tag der Arbeit,Labour Day,DE,False,True,Public,2023,05
2023-05-18,Christi Himmelfahrt,Ascension Day,DE,False,True,Public,2023,05
